configuration,threshold,learning_sample_size,TP,FP,FN,delay_mean,delay_std,delay_median,labeled_delay_mean,labeled_delay_std,labeled_delay_median,power,significance
exponential-uniform,0.27,20,938,172,62,28.184,19.292,22.0,15.95,18.483,14.0,0.938,0.172
exponential-uniform,0.27,50,879,179,121,37.642,23.365,30.0,24.04,14.299,21.0,0.879,0.179
exponential-weibull,0.04,5,999,452,1,23.739,13.376,21.0,16.614,46.272,17.0,0.999,0.452
exponential-weibull,0.04,10,1000,232,0,29.262,14.714,26.0,21.123,31.12,21.0,1.0,0.232
exponential-weibull,0.04,20,977,123,23,37.712,17.047,34.0,29.54,18.331,27.0,0.977,0.123
exponential-weibull,0.04,50,869,170,131,58.213,22.978,54.0,45.336,17.556,42.0,0.869,0.17
exponential-weibull,0.07,5,999,491,1,22.904,13.992,19.875,15.285,48.725,16.0,0.999,0.491
exponential-weibull,0.07,10,1000,268,0,28.5,15.168,25.0,19.328,33.252,20.0,1.0,0.268
exponential-weibull,0.07,20,977,141,23,36.735,17.451,32.0,27.833,18.801,26.0,0.977,0.141
exponential-weibull,0.07,50,866,184,134,56.206,23.282,51.0,42.704,17.503,39.0,0.866,0.184
exponential-weibull,0.18,5,999,568,1,20.696,11.989,17.875,10.933,53.082,13.5,0.999,0.568
exponential-weibull,0.18,10,1000,335,0,26.567,14.327,23.0,15.806,37.099,17.0,1.0,0.335
exponential-weibull,0.18,20,980,200,20,35.263,19.612,30.0,25.05,21.911,22.0,0.98,0.2
exponential-weibull,0.18,50,859,220,141,52.65,24.272,47.0,37.464,17.452,34.0,0.859,0.22
exponential-weibull,0.27,5,1000,601,0,20.151,12.489,17.0,9.05,54.284,12.5,1.0,0.601
exponential-weibull,0.27,10,1000,381,0,26.341,15.879,22.0,15.709,39.934,16.0,1.0,0.381
exponential-weibull,0.27,20,981,234,19,34.17,19.745,28.0,23.079,23.758,20.0,0.981,0.234
exponential-weibull,0.27,50,849,251,151,51.312,25.614,45.0,34.719,17.812,31.0,0.849,0.251
normal,0.04,5,0,29,0,36.966,43.281,22.0,,,,0.0,0.029
normal,0.04,10,0,19,0,53.053,34.345,44.0,,,,0.0,0.019
normal,0.04,20,0,11,0,76.727,34.264,77.0,,,,0.0,0.011
normal,0.04,50,0,4,0,124.0,64.534,105.5,,,,0.0,0.004
normal,0.07,5,0,41,0,30.305,29.42,29.0,,,,0.0,0.041
normal,0.07,10,0,29,0,51.397,30.104,44.0,,,,0.0,0.029
normal,0.07,20,0,25,0,89.96,81.259,68.0,,,,0.0,0.025
normal,0.07,50,0,7,0,132.571,74.326,102.0,,,,0.0,0.007
normal,0.18,5,0,100,0,39.44,48.134,24.0,,,,0.0,0.1
normal,0.18,10,0,91,0,58.56,61.523,41.0,,,,0.0,0.091
normal,0.18,20,0,79,0,79.19,69.443,56.0,,,,0.0,0.079
normal,0.18,50,0,51,0,103.196,71.84,78.0,,,,0.0,0.051
normal,0.27,5,0,165,0,38.36,54.128,24.0,,,,0.0,0.165
normal,0.27,10,0,149,0,56.909,58.277,39.0,,,,0.0,0.149
normal,0.27,20,0,148,0,73.706,63.575,57.0,,,,0.0,0.148
normal,0.27,50,0,101,0,91.594,66.431,67.0,,,,0.0,0.101
normal-beta,0.04,5,1000,112,0,24.165,10.911,22.0,18.786,18.364,18.0,1.0,0.112
normal-beta,0.04,10,1000,105,0,31.626,14.706,29.0,26.188,13.441,24.0,1.0,0.105
normal-beta,0.04,20,999,80,1,41.899,18.067,38.0,34.0,15.609,31.0,0.999,0.08
normal-beta,0.04,50,905,136,95,63.638,24.422,58.0,51.896,20.871,48.0,0.905,0.136
normal-beta,0.07,5,1000,126,0,23.715,11.942,21.0,17.888,19.786,17.0,1.0,0.126
normal-beta,0.07,10,1000,118,0,30.692,14.861,28.0,24.726,13.834,22.0,1.0,0.118
normal-beta,0.07,20,1000,95,0,40.953,18.74,37.0,32.404,15.842,29.0,1.0,0.095
normal-beta,0.07,50,897,157,103,61.922,25.132,55.0,49.284,20.912,45.0,0.897,0.157
normal-beta,0.18,5,1000,174,0,22.466,12.311,19.0,15.733,23.37,15.0,1.0,0.174
normal-beta,0.18,10,1000,167,0,29.669,16.609,26.0,22.722,17.601,20.0,1.0,0.167
normal-beta,0.18,20,999,142,1,38.942,20.076,34.0,28.935,17.904,26.0,0.999,0.142
normal-beta,0.18,50,880,198,120,57.839,25.758,52.0,43.407,20.76,39.0,0.88,0.198
normal-beta,0.27,5,1000,217,0,22.392,13.893,19.0,14.823,25.8,14.0,1.0,0.217
normal-beta,0.27,10,1000,200,0,29.001,16.917,25.0,21.259,19.503,18.75,1.0,0.2
normal-beta,0.27,20,1000,171,0,38.186,20.958,33.0,26.991,19.399,24.0,1.0,0.171
normal-beta,0.27,50,879,219,121,55.825,25.935,49.0,40.397,20.746,36.0,0.879,0.219
normal-exponential,0.04,5,1000,397,0,24.043,13.393,21.0,38.19,35.334,26.0,1.0,0.397
normal-exponential,0.04,10,1000,299,0,31.414,16.097,27.0,39.711,30.512,29.0,1.0,0.299
normal-exponential,0.04,20,994,233,6,41.402,19.323,37.0,43.083,26.202,34.0,0.994,0.233
normal-exponential,0.04,50,890,210,110,64.498,25.384,59.0,55.814,25.038,49.5,0.89,0.21
normal-exponential,0.07,5,1000,452,0,23.48,14.514,20.0,39.278,37.703,26.0,1.0,0.452
normal-exponential,0.07,10,1000,336,0,30.272,16.666,26.0,39.516,31.513,28.0,1.0,0.336
normal-exponential,0.07,20,995,264,5,40.245,19.744,35.0,42.743,27.952,33.0,0.995,0.264
normal-exponential,0.07,50,885,237,115,61.914,25.452,56.5,53.983,26.22,47.0,0.885,0.237
normal-exponential,0.18,5,1000,516,0,22.39,15.76,18.0,38.87,38.527,26.0,1.0,0.516
normal-exponential,0.18,10,1000,417,0,28.962,17.991,24.0,39.354,33.78,27.0,1.0,0.417
normal-exponential,0.18,20,996,338,4,37.486,19.588,32.0,41.562,31.613,30.0,0.996,0.338
normal-exponential,0.18,50,869,303,131,57.894,26.357,52.0,50.56,28.563,42.0,0.869,0.303
normal-exponential,0.27,5,1000,569,0,21.725,15.657,18.0,38.625,39.997,26.0,1.0,0.569
normal-exponential,0.27,10,1000,470,0,28.157,17.94,23.0,38.702,36.019,26.0,1.0,0.47
normal-exponential,0.27,20,996,392,4,36.558,20.774,30.0,40.858,32.855,28.5,0.996,0.392
normal-exponential,0.27,50,862,340,138,55.39,26.114,50.0,48.386,30.248,39.0,0.862,0.34
normal-normal,0.04,5,1000,94,0,1.521,2.585,1.0,-1.682,18.718,-1.0,1.0,0.094
normal-normal,0.04,10,1000,52,0,2.208,5.913,1.0,0.312,10.633,-1.0,1.0,0.052
normal-normal,0.04,20,1000,13,0,2.362,4.836,1.0,-0.074,7.631,-1.0,1.0,0.013
normal-normal,0.04,50,980,22,20,3.58,6.015,2.0,-0.574,0.717,-1.0,0.98,0.022
normal-normal,0.07,5,1000,104,0,1.701,3.233,1.0,-1.56,20.258,-1.0,1.0,0.104
normal-normal,0.07,10,1000,69,0,2.442,5.55,1.0,-0.498,12.98,-1.0,1.0,0.069
normal-normal,0.07,20,1000,18,0,2.471,4.963,1.0,-0.002,8.454,-1.0,1.0,0.018
normal-normal,0.07,50,980,25,20,3.688,6.373,2.0,-0.6,0.697,-1.0,0.98,0.025
normal-normal,0.18,5,1000,159,0,2.557,5.962,1.0,-1.01,26.928,-1.0,1.0,0.159
normal-normal,0.18,10,1000,103,0,2.993,6.404,1.0,0.377,19.032,-1.0,1.0,0.103
normal-normal,0.18,20,1000,54,0,3.528,8.135,1.0,-0.058,13.43,-1.0,1.0,0.054
normal-normal,0.18,50,975,34,25,4.058,7.431,2.0,-0.538,3.915,-1.0,0.975,0.034
normal-normal,0.27,5,1000,202,0,3.323,7.734,1.0,-0.772,31.153,-1.0,1.0,0.202
normal-normal,0.27,10,1000,144,0,3.711,7.957,1.0,1.396,24.375,-1.0,1.0,0.144
normal-normal,0.27,20,1000,79,0,4.071,8.91,1.0,0.168,17.449,-1.0,1.0,0.079
normal-normal,0.27,50,974,47,26,4.698,9.029,2.0,-0.054,8.338,-1.0,0.974,0.047
normal-uniform,0.04,5,1000,70,0,8.196,9.933,6.0,2.921,20.444,4.0,1.0,0.07
normal-uniform,0.04,10,1000,44,0,9.179,8.801,7.0,5.099,9.456,4.0,1.0,0.044
normal-uniform,0.04,20,997,45,3,11.661,10.716,9.0,6.309,7.887,5.0,0.997,0.045
normal-uniform,0.04,50,939,86,61,17.246,13.763,13.0,8.974,6.235,8.0,0.939,0.086
normal-uniform,0.07,5,1000,82,0,8.024,9.483,6.0,2.686,20.687,3.0,1.0,0.082
normal-uniform,0.07,10,1000,55,0,9.325,10.634,7.0,5.13,11.341,4.0,1.0,0.055
normal-uniform,0.07,20,996,53,4,11.506,10.724,8.0,5.942,7.95,5.0,0.996,0.053
normal-uniform,0.07,50,940,95,60,17.261,14.832,12.0,8.434,7.081,7.0,0.94,0.095
normal-uniform,0.18,5,1000,115,0,7.831,8.945,6.0,2.52,22.738,3.0,1.0,0.115
normal-uniform,0.18,10,1000,92,0,9.577,11.563,6.0,4.309,14.648,3.0,1.0,0.092
normal-uniform,0.18,20,999,77,1,11.864,13.208,8.0,5.134,9.148,4.0,0.999,0.077
normal-uniform,0.18,50,932,113,68,17.077,15.849,11.0,7.18,6.597,6.0,0.932,0.113
normal-uniform,0.27,5,1000,162,0,8.527,10.992,5.0,2.229,26.08,3.0,1.0,0.162
